Entidad,Valor,Mes,Anio
0,16.19,1,2017
0,16.18,2,2017
0,16.1,3,2017
0,16.12,4,2017
0,16.03,5,2017
0,15.93,6,2017
0,15.86,7,2017
0,15.92,8,2017
0,16.15,9,2017
0,16.28,10,2017
0,16.36,11,2017
0,16.48,12,2017
0,17.17,1,2018
0,18.0,2,2018
0,18.26,3,2018
0,18.34,4,2018
0,18.46,5,2018
0,18.65,6,2018
0,19.02,7,2018
0,19.55,8,2018
0,19.8,9,2018
0,20.0,10,2018
0,20.0,11,2018
0,19.81,12,2018
0,19.64,1,2019
0,20.08,2,2019
0,20.34,3,2019
0,19.85,4,2019
0,19.75,5,2019
0,19.65,6,2019
0,19.71,7,2019
0,19.67,8,2019
0,19.74,9,2019
0,19.79,10,2019
0,19.85,11,2019
0,19.92,12,2019
0,19.97,1,2020
0,19.96,2,2020
0,18.39,3,2020
0,15.36,4,2020
0,16.57,5,2020
0,18.01,6,2020
0,19.2,7,2020
0,19.3,8,2020
0,19.08,9,2020
0,18.68,10,2020
0,17.94,11,2020
0,18.18,12,2020
0,19.27,1,2021
0,20.17,2,2021
0,20.46,3,2021
0,20.53,4,2021
0,20.46,5,2021
0,20.47,6,2021
0,20.55,7,2021
0,20.5,8,2021
0,20.25,9,2021
0,20.2,10,2021
0,20.09,11,2021
0,20.26,12,2021
0,20.62,1,2022
0,20.81,2,2022
0,21.25,3,2022
0,21.48,4,2022
0,21.8,5,2022
0,21.81,6,2022
0,21.7,7,2022
0,21.64,8,2022
0,21.4,9,2022
0,21.57,10,2022
0,21.52,11,2022
0,21.22,12,2022
0,21.51,1,2023
0,21.59,2,2023
0,21.63,3,2023
0,21.77,4,2023
0,21.76,5,2023
0,21.97,6,2023
0,22.05,7,2023
0,22.24,8,2023
0,22.32,9,2023
0,22.4,10,2023
0,22.44,11,2023
0,22.43,12,2023
0,22.58,1,2024
0,23.11,2,2024
0,23.3,3,2024
0,23.39,4,2024
0,23.53,5,2024
0,23.63,6,2024
0,23.98,7,2024
0,24.28,8,2024
0,24.36,9,2024
0,24.38,10,2024
0,24.37,11,2024
0,24.39,12,2024
0,24.68,1,2025
0,24.7,2,2025
0,24.07,3,2025
0,23.93,4,2025
1,16.07,1,2017
1,16.04,2,2017
1,15.85,3,2017
1,15.87,4,2017
1,15.83,5,2017
1,15.81,6,2017
1,15.71,7,2017
1,15.8,8,2017
1,15.98,9,2017
1,16.12,10,2017
1,16.27,11,2017
1,16.38,12,2017
1,16.8,1,2018
1,17.31,2,2018
1,17.53,3,2018
1,17.67,4,2018
1,17.81,5,2018
1,18.08,6,2018
1,18.49,7,2018
1,19.03,8,2018
1,19.36,9,2018
1,19.57,10,2018
1,19.61,11,2018
1,19.4,12,2018
1,18.04,1,2019
1,18.17,2,2019
1,18.56,3,2019
1,18.49,4,2019
1,18.43,5,2019
1,18.34,6,2019
1,18.37,7,2019
1,18.17,8,2019
1,18.2,9,2019
1,18.09,10,2019
1,18.0,11,2019
1,18.0,12,2019
1,18.3,1,2020
1,18.37,2,2020
1,17.18,3,2020
1,14.19,4,2020
1,15.53,5,2020
1,17.15,6,2020
1,17.94,7,2020
1,17.85,8,2020
1,17.71,9,2020
1,17.38,10,2020
1,16.39,11,2020
1,16.58,12,2020
1,17.84,1,2021
1,18.78,2,2021
1,19.08,3,2021
1,19.24,4,2021
1,19.38,5,2021
1,19.43,6,2021
1,19.39,7,2021
1,19.43,8,2021
1,19.42,9,2021
1,19.4,10,2021
1,19.31,11,2021
1,19.38,12,2021
1,19.68,1,2022
1,20.0,2,2022
1,20.48,3,2022
1,21.11,4,2022
1,21.28,5,2022
1,21.3,6,2022
1,21.12,7,2022
1,21.19,8,2022
1,21.08,9,2022
1,21.2,10,2022
1,21.07,11,2022
1,20.69,12,2022
1,20.98,1,2023
1,21.06,2,2023
1,21.16,3,2023
1,21.28,4,2023
1,21.16,5,2023
1,21.26,6,2023
1,21.38,7,2023
